name: description: price: image_url: category

Pink & Purple Ganesha Deepavali Card: Original Hand painted work on 300gsm Watercolour paper, A6: 5: /Users/kokila/Desktop/Biz Images for NUS PROJECT /Pink & Purple Ganesha Deepavali Card.JPG: Deepavali Card

Purple Floral Birthday Postcard: Original Handmade watercolour postcard painted on light grey 100% cotton watercolour paper, A6 size: 5: /Users/kokila/Desktop/Biz Images for NUS PROJECT /Purple Floral Birthday Postcard.JPG: Birthday Postcard

Yellow Floral Birthday Card: Original Hand painted work on 300gsm Watercolour paper, A6 size: 5: /Users/kokila/Desktop/Biz Images for NUS PROJECT /Yellowy Floral Birthday Card.JPG: Birthday Card





